region,customer_name,total_sales,row_num,rank_val,dense_rank_val
Africa,Barry Weirich,8957.52,1,1,1
Africa,Liz Thompson,7855.9439999999995,2,2,2
Africa,Phillina Ober,7797.12,3,3,3
Africa,Jennifer Ferguson,6470.340000000001,4,4,4
Africa,Jane Waco,6173.13,5,5,5
Africa,Dave Poirier,5858.400000000001,6,6,6
Africa,Benjamin Patterson,5494.235999999998,7,7,7
Africa,Emily Grady,5151.848999999999,8,8,8
Africa,Natalie Webber,5100.0,9,9,9
Africa,Aaron Hawkins,5072.166000000001,10,10,10
Africa,Mike Gockenbach,4881.174,11,11,11
Africa,Resi Pölking,4862.160000000001,12,12,12
Africa,Michelle Tran,4827.126,13,13,13
Africa,Rick Wilson,4820.429999999999,14,14,14
Africa,Nora Pelletier,4654.74,15,15,15
Africa,Ritsa Hightower,4476.969,16,16,16
Africa,Georgia Rosenberg,4472.937000000001,17,17,17
Africa,Rob Dowd,4464.389999999999,18,18,18
Africa,Justin Ellison,4342.956,19,19,19
Africa,Roger Barcio,4268.297999999999,20,20,20
Africa,Maria Bertelson,4214.277,21,21,21
Africa,Bryan Spruell,4162.914,22,22,22
Africa,Ivan Gibson,4147.736999999998,23,23,23
Africa,Christine Phan,4136.34,24,24,24
Africa,Alejandro Ballentine,4083.4199999999996,25,25,25
Africa,Astrea Jones,4071.528,26,26,26
Africa,Henry MacAllister,4068.99,27,27,27
Africa,Sally Matthias,4067.97,28,28,28
Africa,Sean Miller,3993.0840000000003,29,29,29
Africa,Linda Cazamias,3984.9299999999994,30,30,30
Africa,Craig Carroll,3954.78,31,31,31
Africa,Ashley Jarboe,3815.6039999999994,32,32,32
Africa,Dennis Bolton,3691.53,33,33,33
Africa,Gene McClure,3669.54,34,34,34
Africa,Gary Hwang,3647.076,35,35,35
Africa,Julia Dunbar,3468.8579999999997,36,36,36
Africa,Mike Vittorini,3444.12,37,37,37
Africa,Adam Hart,3425.88,38,38,38
Africa,Guy Phonely,3414.51,39,39,39
Africa,Duane Huffman,3410.6760000000004,40,40,40
Africa,Jill Fjeld,3367.3200000000006,41,41,41
Africa,Harold Dahlen,3311.328,42,42,42
Africa,Pete Armstrong,3222.891,43,43,43
Africa,Paul Van Hugh,3155.9399999999996,44,44,44
Africa,Ionia McGrath,3117.9900000000002,45,45,45
Africa,Alan Hwang,3090.0599999999995,46,46,46
Africa,Lauren Leatherbury,3079.0800000000004,47,47,47
Africa,Cynthia Voltz,3069.294,48,48,48
Africa,Cari MacIntyre,3061.3769999999995,49,49,49
Africa,Ross DeVincentis,3021.66,50,50,50
Africa,Ben Wallace,2996.736,51,51,51
Africa,Muhammed Yedwab,2991.4530000000004,52,52,52
Africa,Robert Dilbeck,2959.542,53,53,53
Africa,Barry Pond,2951.754,54,54,54
Africa,Deirdre Greer,2948.9279999999994,55,55,55
